,AVAILABILITY,CATEGORY,COVER,N° OF REVIEWS,PRICE,PRICE (excl tax),PRICE (incl tax),PRODUCT_TYPE,STOCK,TAX,TITLE,UPC,reviews
28,In stock (18 available),nonfiction_13,http://books.toscrape.com/catalogue/worlds-elsewhere-journeys-around-shakespeares-globe_972/../../media/cache/7b/d9/7bd93db091d736d0c6ff9d578e3ba3d7.jpg,0,40.30,40.30,40.30,Books,18,0.00,Worlds Elsewhere: Journeys Around Shakespeareâs Globe,4c28def39d850cdf,Five
29,In stock (18 available),art_25,http://books.toscrape.com/catalogue/wall-and-piece_971/../../media/cache/df/34/df346322ddfdd3b4da0e34cad17f49dc.jpg,0,44.18,44.18,44.18,Books,18,0.00,Wall and Piece,ccd9ffa25efabdea,Four
30,In stock (18 available),spirituality_39,http://books.toscrape.com/catalogue/the-four-agreements-a-practical-guide-to-personal-freedom_970/../../media/cache/2b/1b/2b1bfecae9d512cb6ee943ccf786216f.jpg,0,17.66,17.66,17.66,Books,18,0.00,The Four Agreements: A Practical Guide to Personal Freedom,6258a1f6a6dcfe50,Five
31,In stock (18 available),nonfiction_13,http://books.toscrape.com/catalogue/the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/../../media/cache/7c/10/7c10101fe1759c5a17ba57e4bef9e764.jpg,0,31.05,31.05,31.05,Books,18,0.00,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,3c039985229453bf,Three
32,In stock (18 available),thriller_37,http://books.toscrape.com/catalogue/the-elephant-tree_968/../../media/cache/4b/80/4b80a3d9148e224ed4d6cd4d33f43728.jpg,0,23.82,23.82,23.82,Books,18,0.00,The Elephant Tree,5dada2b7be26bd03,Five
33,In stock (18 available),childrens_11,http://books.toscrape.com/catalogue/the-bear-and-the-piano_967/../../media/cache/d0/87/d0876dcd1a6530a4cb54903aad7a3e28.jpg,0,36.89,36.89,36.89,Books,18,0.00,The Bear and the Piano,9f6568e9c95f60b0,One
34,In stock (18 available),philosophy_7,http://books.toscrape.com/catalogue/sophies-world_966/../../media/cache/d7/39/d73914232130fdf90d66f02fd9798f2b.jpg,0,15.94,15.94,15.94,Books,18,0.00,Sophie's World,6be3beb0793a53e7,Five
35,In stock (18 available),default_15,http://books.toscrape.com/catalogue/penny-maybe_965/../../media/cache/b1/4b/b14be641ab97a330891455a769d52fd3.jpg,0,33.29,33.29,33.29,Books,18,0.00,Penny Maybe,668fe56b17cfcd4f,Three
36,In stock (18 available),default_15,http://books.toscrape.com/catalogue/maude-1883-1993she-grew-up-with-the-country_964/../../media/cache/65/bf/65bfa3acc93b0e558a1c3de1b1164742.jpg,0,18.02,18.02,18.02,Books,18,0.00,Maude (1883-1993):She Grew Up with the country,094b269567e1c300,Two
37,In stock (18 available),mystery_3,http://books.toscrape.com/catalogue/in-a-dark-dark-wood_963/../../media/cache/95/84/95840dfd67c020067c99d70451147e20.jpg,0,19.63,19.63,19.63,Books,18,0.00,"In a Dark, Dark Wood",19ed25f4641d5efd,One
38,In stock (18 available),thriller_37,http://books.toscrape.com/catalogue/behind-closed-doors_962/../../media/cache/a5/85/a58571db229f2e8f75ea38861eca7f39.jpg,0,52.22,52.22,52.22,Books,18,0.00,Behind Closed Doors,be5cc846f45496fb,Four
39,In stock (17 available),poetry_23,http://books.toscrape.com/catalogue/you-cant-bury-them-all-poems_961/../../media/cache/b7/44/b7440aa88046b0bf8cba50d59295518e.jpg,0,33.63,33.63,33.63,Books,17,0.00,You can't bury them all: Poems,55f9da0c5eea2e10,Two
40,In stock (17 available),poetry_23,http://books.toscrape.com/catalogue/slow-states-of-collapse-poems_960/../../media/cache/db/ac/dbac3faca8a799824f5725d66c0fcce3.jpg,0,57.31,57.31,57.31,Books,17,0.00,Slow States of Collapse: Poems,b4fd5943413e089a,Three
41,In stock (17 available),nonfiction_13,http://books.toscrape.com/catalogue/reasons-to-stay-alive_959/../../media/cache/f5/3c/f53c7d21723c860cfbca2b539bc55b8f.jpg,0,26.41,26.41,26.41,Books,17,0.00,Reasons to Stay Alive,c8f7f0cb1abb9cac,Two
42,In stock (17 available),fiction_10,http://books.toscrape.com/catalogue/private-paris-private-10_958/../../media/cache/05/87/0587ab519222a61f803fa4570c325ad2.jpg,0,47.61,47.61,47.61,Books,17,0.00,Private Paris (Private #10),b12b89017878a60d,Five
43,In stock (17 available),nonfiction_13,http://books.toscrape.com/catalogue/higherselfie-wake-up-your-life-free-your-soul-find-your-tribe_957/../../media/cache/71/45/71451e3bba61a8d888a4a2c6526a4bcf.jpg,0,23.11,23.11,23.11,Books,17,0.00,#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,c27f6e1f185b0383,Five
44,In stock (16 available),new-adult_20,http://books.toscrape.com/catalogue/without-borders-wanderlove-1_956/../../media/cache/de/26/de269ee688d4dc51846567f3942600ce.jpg,0,45.07,45.07,45.07,Books,16,0.00,Without Borders (Wanderlove #1),acddfeab2a407640,Two
45,In stock (16 available),contemporary_38,http://books.toscrape.com/catalogue/when-we-collided_955/../../media/cache/17/db/17db3de71e8217d4277a9328b04f56cf.jpg,0,31.77,31.77,31.77,Books,16,0.00,When We Collided,3ecb690d1542c568,One
46,In stock (16 available),fiction_10,http://books.toscrape.com/catalogue/we-love-you-charlie-freeman_954/../../media/cache/87/a2/87a2fddd7f6b240c0351e1eb950b6716.jpg,0,50.27,50.27,50.27,Books,16,0.00,"We Love You, Charlie Freeman",8d455c7539795d2a,Five
47,In stock (16 available),poetry_23,http://books.toscrape.com/catalogue/untitled-collection-sabbath-poems-2014_953/../../media/cache/65/6e/656e79dfd4f8b6bf19ffde2c75ceda81.jpg,0,14.27,14.27,14.27,Books,16,0.00,Untitled Collection: Sabbath Poems 2014,657fe5ead67a7767,Four
48,In stock (16 available),nonfiction_13,http://books.toscrape.com/catalogue/unseen-city-the-majesty-of-pigeons-the-discreet-charm-of-snails-other-wonders-of-the-urban-wilderness_952/../../media/cache/88/a4/88a4b5f7236b8a36ba972be5ebe4f252.jpg,0,44.18,44.18,44.18,Books,16,0.00,"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",d170b5a0da46380e,Four
49,In stock (16 available),fantasy_19,http://books.toscrape.com/catalogue/unicorn-tracks_951/../../media/cache/9b/09/9b0935dc936c92900c2dc5d2114da72f.jpg,0,18.78,18.78,18.78,Books,16,0.00,Unicorn Tracks,7ae099f3898e0209,Three
50,In stock (16 available),history_32,http://books.toscrape.com/catalogue/unbound-how-eight-technologies-made-us-human-transformed-society-and-brought-our-world-to-the-brink_950/../../media/cache/27/a1/27a1ebe79d6e6759ec68ea9f427a4f71.jpg,0,25.52,25.52,25.52,Books,16,0.00,"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",9a9d6e9bc555731e,One
51,In stock (16 available),sequential-art_5,http://books.toscrape.com/catalogue/tsubasa-world-chronicle-2-tsubasa-world-chronicle-2_949/../../media/cache/8b/ab/8bab133ec9f8248a8d5f5ea5c09d0f56.jpg,0,16.28,16.28,16.28,Books,16,0.00,Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),09555be379ad9253,One
52,In stock (16 available),nonfiction_13,http://books.toscrape.com/catalogue/throwing-rocks-at-the-google-bus-how-growth-became-the-enemy-of-prosperity_948/../../media/cache/f4/21/f4210912ca58ef35f8ad120fe3dfed38.jpg,0,31.12,31.12,31.12,Books,16,0.00,Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,7858914fad68493c,Three
53,In stock (16 available),sequential-art_5,http://books.toscrape.com/catalogue/this-one-summer_947/../../media/cache/ee/43/ee4364a59d66bafb1b3264419ab3ed9e.jpg,0,19.49,19.49,19.49,Books,16,0.00,This One Summer,51653ef291ab7ddc,Four
54,In stock (16 available),fiction_10,http://books.toscrape.com/catalogue/thirst_946/../../media/cache/8c/54/8c54a50576c204b80165a13545f73028.jpg,0,17.27,17.27,17.27,Books,16,0.00,Thirst,709822d0b5bcb7f4,Five
55,In stock (16 available),add-a-comment_18,http://books.toscrape.com/catalogue/the-torch-is-passed-a-harding-family-story_945/../../media/cache/c7/26/c7260547c468dbe78af92cf3927c2a1c.jpg,0,19.09,19.09,19.09,Books,16,0.00,The Torch Is Passed: A Harding Family Story,4eed62cf5f8d8edf,One
56,In stock (16 available),childrens_11,http://books.toscrape.com/catalogue/the-secret-of-dreadwillow-carse_944/../../media/cache/7b/fd/7bfde4a3d6793f13e9a2d8851a398847.jpg,0,56.13,56.13,56.13,Books,16,0.00,The Secret of Dreadwillow Carse,b5ea0b5dabed25a8,One
57,In stock (16 available),food-and-drink_33,http://books.toscrape.com/catalogue/the-pioneer-woman-cooks-dinnertime-comfort-classics-freezer-food-16-minute-meals-and-other-delicious-ways-to-solve-supper_943/../../media/cache/fd/af/fdaf3c3104c559941c01e840fecd2659.jpg,0,56.41,56.41,56.41,Books,16,0.00,"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",142d767a56a9254d,One
58,In stock (16 available),mystery_3,http://books.toscrape.com/catalogue/the-past-never-ends_942/../../media/cache/9d/f2/9df248dcefeaba9eeb519a59b248f72c.jpg,0,56.50,56.50,56.50,Books,16,0.00,The Past Never Ends,5ee94540d0749ea0,Four
59,In stock (16 available),young-adult_21,http://books.toscrape.com/catalogue/the-natural-history-of-us-the-fine-art-of-pretending-2_941/../../media/cache/da/b8/dab87c14168f3ce18530447ec6437361.jpg,0,45.22,45.22,45.22,Books,16,0.00,The Natural History of Us (The Fine Art of Pretending #2),cedf82b5086e4691,Three
60,In stock (16 available),sequential-art_5,http://books.toscrape.com/catalogue/the-nameless-city-the-nameless-city-1_940/../../media/cache/19/de/19deee0778c2406da04a4dd0ea09188f.jpg,0,38.16,38.16,38.16,Books,16,0.00,The Nameless City (The Nameless City #1),7d385d34d12e60ff,Four
61,In stock (16 available),fiction_10,http://books.toscrape.com/catalogue/the-murder-that-never-was-forensic-instincts-5_939/../../media/cache/29/e0/29e036acd8a6e3daa787ce2bc05bdbbb.jpg,0,54.11,54.11,54.11,Books,16,0.00,The Murder That Never Was (Forensic Instincts #5),d01ac97e2b8947c2,Three
62,In stock (16 available),science_22,http://books.toscrape.com/catalogue/the-most-perfect-thing-inside-and-outside-a-birds-egg_938/../../media/cache/a3/9e/a39e7c5c9fc61c2ae0f81116aa8cbb0e.jpg,0,42.96,42.96,42.96,Books,16,0.00,The Most Perfect Thing: Inside (and Outside) a Bird's Egg,aadee1c326d286e3,Four
63,In stock (16 available),add-a-comment_18,http://books.toscrape.com/catalogue/the-mindfulness-and-acceptance-workbook-for-anxiety-a-guide-to-breaking-free-from-anxiety-phobias-and-worry-using-acceptance-and-commitment-therapy_937/../../media/cache/c9/eb/c9eb6ecf45abf796df0044600db65e55.jpg,0,23.89,23.89,23.89,Books,16,0.00,"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",31075275518532d7,Four
64,In stock (16 available),nonfiction_13,http://books.toscrape.com/catalogue/the-life-changing-magic-of-tidying-up-the-japanese-art-of-decluttering-and-organizing_936/../../media/cache/26/65/2665876e19a6c92130f02cfda3bd3846.jpg,0,16.77,16.77,16.77,Books,16,0.00,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,0da9aa9d24677fc0,Three
65,In stock (16 available),default_15,http://books.toscrape.com/catalogue/the-inefficiency-assassin-time-management-tactics-for-working-smarter-not-longer_935/../../media/cache/a5/b8/a5b8d2d5165a06fc762e8eaf8b04f98f.jpg,0,20.59,20.59,20.59,Books,16,0.00,"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",8c9e6bf2467d740d,Five
66,In stock (16 available),nonfiction_13,http://books.toscrape.com/catalogue/the-gutsy-girl-escapades-for-your-life-of-epic-adventure_934/../../media/cache/73/cb/73cb1236d96f455d712516fffeae2304.jpg,0,37.13,37.13,37.13,Books,16,0.00,The Gutsy Girl: Escapades for Your Life of Epic Adventure,acd86a5426e21ca0,One
67,In stock (16 available),nonfiction_13,http://books.toscrape.com/catalogue/the-electric-pencil-drawings-from-inside-state-hospital-no-3_933/../../media/cache/b1/0f/b10faf0dee8994865437ffc79682dc2f.jpg,0,56.06,56.06,56.06,Books,16,0.00,The Electric Pencil: Drawings from Inside State Hospital No. 3,a30b270e25489e5c,One
68,In stock (16 available),philosophy_7,http://books.toscrape.com/catalogue/the-death-of-humanity-and-the-case-for-life_932/../../media/cache/3f/f6/3ff6fe5d0c5ca7ab2ed8b5971e299caa.jpg,0,58.11,58.11,58.11,Books,16,0.00,The Death of Humanity: and the Case for Life,bd261725b99f5983,Four
69,In stock (16 available),health_47,http://books.toscrape.com/catalogue/the-bulletproof-diet-lose-up-to-a-pound-a-day-reclaim-energy-and-focus-upgrade-your-life_931/../../media/cache/9c/c6/9cc673854af8fd155953384b3cac334e.jpg,0,49.05,49.05,49.05,Books,16,0.00,"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",43c6a960757cf559,Three
70,In stock (16 available),add-a-comment_18,http://books.toscrape.com/catalogue/the-art-forger_930/../../media/cache/f5/3b/f53bc7b18914c97de7c23967293be119.jpg,0,40.76,40.76,40.76,Books,16,0.00,The Art Forger,80cfab6bcff3a244,Three
71,In stock (16 available),history_32,http://books.toscrape.com/catalogue/the-age-of-genius-the-seventeenth-century-and-the-birth-of-the-modern-mind_929/../../media/cache/2e/65/2e654066306042f4c462ba4d048650d9.jpg,0,19.73,19.73,19.73,Books,16,0.00,The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,a3d2a4250807f1e9,One
72,In stock (16 available),spirituality_39,http://books.toscrape.com/catalogue/the-activists-tao-te-ching-ancient-advice-for-a-modern-revolution_928/../../media/cache/da/0c/da0ca35421a5120b2109028e44a53f56.jpg,0,32.24,32.24,32.24,Books,16,0.00,The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,7d6d2a6c0276f81b,Five
73,In stock (16 available),nonfiction_13,http://books.toscrape.com/catalogue/spark-joy-an-illustrated-master-class-on-the-art-of-organizing-and-tidying-up_927/../../media/cache/17/19/1719475c51206a410a90fe5f3708df4c.jpg,0,41.83,41.83,41.83,Books,16,0.00,Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,87b0615b6e1f4d7b,Four
74,In stock (16 available),default_15,http://books.toscrape.com/catalogue/soul-reader_926/../../media/cache/cc/5e/cc5e82c2205da748c6c19fbc1876586b.jpg,0,39.58,39.58,39.58,Books,16,0.00,Soul Reader,e6af5bf1163c1151,Two
75,In stock (16 available),horror_31,http://books.toscrape.com/catalogue/security_925/../../media/cache/79/2b/792bdeb2cf7d8efaef0e401e5a27b4da.jpg,0,39.25,39.25,39.25,Books,16,0.00,Security,6f78a0d744c35456,Two
76,In stock (16 available),fantasy_19,http://books.toscrape.com/catalogue/saga-volume-6-saga-collected-editions-6_924/../../media/cache/4a/99/4a996ae54711cea37e370428b54f8b19.jpg,0,25.02,25.02,25.02,Books,16,0.00,"Saga, Volume 6 (Saga (Collected Editions) #6)",c849f0b2f5d6a742,Three
77,In stock (16 available),sequential-art_5,http://books.toscrape.com/catalogue/saga-volume-5-saga-collected-editions-5_923/../../media/cache/60/3c/603c8f3dd299efe67616a53e5bfb1d03.jpg,0,51.04,51.04,51.04,Books,16,0.00,"Saga, Volume 5 (Saga (Collected Editions) #5)",53a3d11bb568cc8b,Two
78,In stock (16 available),nonfiction_13,http://books.toscrape.com/catalogue/reskilling-america-learning-to-labor-in-the-twenty-first-century_922/../../media/cache/2c/d2/2cd2b814b8a8cd3a49895cbd13a8b1f4.jpg,0,19.83,19.83,19.83,Books,16,0.00,Reskilling America: Learning to Labor in the Twenty-First Century,d7310206583a54b6,Two
79,In stock (16 available),sequential-art_5,http://books.toscrape.com/catalogue/rat-queens-vol-3-demons-rat-queens-collected-editions-11-15_921/../../media/cache/d5/d0/d5d015a9cf899301cce5d1a629bdd974.jpg,0,50.40,50.40,50.40,Books,16,0.00,"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",c82a3e358c773c73,Three
80,In stock (16 available),sequential-art_5,http://books.toscrape.com/catalogue/princess-jellyfish-2-in-1-omnibus-vol-01-princess-jellyfish-2-in-1-omnibus-1_920/../../media/cache/6c/8f/6c8ffe949fb650ba60eff25be1692881.jpg,0,13.61,13.61,13.61,Books,16,0.00,"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",0fa6dceead7ce47a,Five
81,In stock (16 available),fantasy_19,http://books.toscrape.com/catalogue/princess-between-worlds-wide-awake-princess-5_919/../../media/cache/db/01/db01b38d3200a5faff4ead42791416e4.jpg,0,13.34,13.34,13.34,Books,16,0.00,Princess Between Worlds (Wide-Awake Princess #5),0e691eda369f4e09,Five
82,In stock (16 available),sequential-art_5,http://books.toscrape.com/catalogue/pop-gun-war-volume-1-gift_918/../../media/cache/6f/7b/6f7b3b8445b943f4ff7426360daefb88.jpg,0,18.97,18.97,18.97,Books,16,0.00,"Pop Gun War, Volume 1: Gift",e80f8e518b300dfe,One
83,In stock (16 available),history_32,http://books.toscrape.com/catalogue/political-suicide-missteps-peccadilloes-bad-calls-backroom-hijinx-sordid-pasts-rotten-breaks-and-just-plain-dumb-mistakes-in-the-annals-of-american-politics_917/../../media/cache/31/e6/31e6e0a41e62858180b268c27b20a770.jpg,0,36.28,36.28,36.28,Books,16,0.00,"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",7392c0032f92d816,Two
84,In stock (16 available),sequential-art_5,http://books.toscrape.com/catalogue/patience_916/../../media/cache/71/0c/710cdaa148f10aac35c27bb93b4f532e.jpg,0,10.16,10.16,10.16,Books,16,0.00,Patience,9429b4d59c537af5,Three
85,In stock (16 available),sequential-art_5,http://books.toscrape.com/catalogue/outcast-vol-1-a-darkness-surrounds-him-outcast-1_915/../../media/cache/0c/8a/0c8ae80b592bc1b4c555d6b29d1cfa28.jpg,0,15.44,15.44,15.44,Books,16,0.00,"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",889139b8e9c4cb36,Four
86,In stock (16 available),sequential-art_5,http://books.toscrape.com/catalogue/orange-the-complete-collection-1-orange-the-complete-collection-1_914/../../media/cache/33/0b/330bf57e3f2e70548f87d39cb956f7eb.jpg,0,48.41,48.41,48.41,Books,16,0.00,orange: The Complete Collection 1 (orange: The Complete Collection #1),11809b1d323b3057,One
87,In stock (16 available),self-help_41,http://books.toscrape.com/catalogue/online-marketing-for-busy-authors-a-step-by-step-guide_913/../../media/cache/49/e1/49e1f207b2149e34390a2c6aa7cfc113.jpg,0,46.35,46.35,46.35,Books,16,0.00,Online Marketing for Busy Authors: A Step-By-Step Guide,9ffa38d3b832433a,One
88,In stock (16 available),add-a-comment_18,http://books.toscrape.com/catalogue/on-a-midnight-clear_912/../../media/cache/75/9d/759d9276739200e2cb8101a36449ba20.jpg,0,14.07,14.07,14.07,Books,16,0.00,On a Midnight Clear,b757c0c361e689ce,Three
